Symbol,Company Name,Short Name,Industry,Description,Website Logo,CEO,Exchange,Market Cap,Sector,Tag 1,Tag 2,Tag 3,OTC
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",,Michael R. McMullen,New York Stock Exchange,24218068096.0,Healthcare,Healthcare,Diagnostics & Research,Medical Diagnostics & Research,F
AA,Alcoa Corporation,Alcoa,Metals & Mining,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Iceland, Norway, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting and casting businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets. In addition, it owns hydro power plants that generates and sells electricity in the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1886 and is headquartered in Pittsburgh, Pennsylvania.",,Roy Christopher Harvey,New York Stock Exchange,5374966543.0,Basic Materials,Basic Materials,Aluminum,Metals & Mining,F
AAC,AAC Holdings Inc.,AAC,Health Care Providers,"Ares Acquisition Corporation does not have significant operations. The company intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. Ares Acquisition Corporation was incorporated in 2020 and is based in New York, New York.",,Michael T. Cartwright,New York Stock Exchange,63720099.0,Healthcare,Healthcare,Medical Care,Health Care Providers,F
AAL,American Airlines Group Inc.,American Airlines,Airlines,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Doha, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2022, it operated a mainline fleet of 925 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1926 and is headquartered in Fort Worth, Texas.",,W. Douglas Parker,Nasdaq Global Select,16940186209.0,Industrials,Industrials,Airlines,,F
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,"The Aaron's Company, Inc. provides lease-to-own and retail purchase solutions. It operates through Aaron's Business and BrandsMart segments. The company engages in direct-to-consumer sales and lease ownership of furniture, appliances, electronics, computers, and other home products through company-operated and franchised stores in the United States and Canada, as well as its e-commerce platforms, including aarons.com and brandsmartusa.com. It also manufactures and supplies upholstered furniture. The company was formerly known as Aaron's SpinCo, Inc. The Aaron's Company, Inc. was founded in 1955 and is based in Atlanta, Georgia.",,John W. Robinson,New York Stock Exchange,3677542512.0,Industrials,Industrials,Rental & Leasing Services,Consulting & Outsourcing,F
AAOI,Applied Optoelectronics Inc.,Applied Optoelectronics,Semiconductors,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas.",,Chih-Hsiang Thompson Lin,NASDAQ Global Market,352218215.0,Technology,Technology,Semiconductors,,F
AAON,AAON Inc.,AAON,Building Materials,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. The company operates through three segments: AAON Oklahoma, AAON Coil Products, and BASX. It offers rooftop units, data center cooling solutions, cleanroom systems, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, data centers, medical and pharmaceutical, and other commercial industries. It sells its products through a network of independent manufacturer representative organizations and internal sales force, as well as online. The company was incorporated in 1987 and is based in Tulsa, Oklahoma.",,Norman H. Asbjornson,Nasdaq Global Select,1961880263.0,Basic Materials,Basic Materials,Building Materials,,F
AAP,Advance Auto Parts Inc.,Advance Auto Parts,Retail - Apparel & Specialty,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives, and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing, including batteries, starters, and alternators; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. The company has stores in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and independently owned Carquest branded stores in Mexico, Grand Cayman, Caribbean Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",,Thomas R. Greco,New York Stock Exchange,11761401561.0,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty,F
AAPL,Apple Inc.,Apple,Computer Hardware,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California.",,Timothy D. Cook,Nasdaq Global Select,807000000000.0,Technology,Technology,Consumer Electronics,Computer Hardware,F
AAT,American Assets Trust Inc.,American Assets Trust,REITs,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes.",,Ernest Rady,New York Stock Exchange,2032912309.0,Real Estate,Real Estate,REIT - Retail,REITs,F
